x,y,surface
0.9045085,-0.00638732,lower
0.91354029,-0.00581339,lower
0.92216396,-0.00525976,lower
0.93037101,-0.00472771,lower
0.93815334,-0.00421846,lower
0.94550326,-0.00373324,lower
0.95241353,-0.00327319,lower
0.95887731,-0.00283946,lower
0.96488824,-0.00243311,lower
0.97044038,-0.00205519,lower
0.97552826,-0.00170666,lower
0.98014684,-0.00138842,lower
0.98429158,-0.00110132,lower
0.98795838,-0.00084612,lower
0.99114363,-0.00062351,lower
0.99384417,-0.0004341,lower
0.99605735,-0.00027841,lower
0.99778098,-0.00015686,lower
0.99901336,-6.98e-05,lower
0.99975328,-1.746e-05,lower
1.0,0.0,lower
